"","PAYX.Open","PAYX.High","PAYX.Low","PAYX.Close","PAYX.Volume","PAYX.Adjusted","PAYX.Adj.Ret","PAYX.Adj.Log.Ret","PYPL.Open","PYPL.High","PYPL.Low","PYPL.Close","PYPL.Volume","PYPL.Adjusted","PYPL.Adj.Ret","PYPL.Adj.Log.Ret","WMT.Open","WMT.High","WMT.Low","WMT.Close","WMT.Volume","WMT.Adjusted","WMT.Adj.Ret","WMT.Adj.Log.Ret","SP.Open","SP.High","SP.Low","SP.Close","SP.Volume","SP.Adjusted","SP.Adj.Ret","SP.Adj.Log.Ret"
"2017-11-24",64.599998,64.889999,64.419998,64.690002,538900,60.736202,NA,NA,77.809998,78.900002,77.699997,78.57,4306600,78.57,NA,NA,96.870003,97.230003,96.529999,96.620003,4496100,92.021423,NA,NA,39.049999,39.049999,38.599998,38.700001,23000,38.700001,NA,NA
"2017-11-27",64.639999,64.860001,64.290001,64.68,1241500,60.726807,-0.00939499999999782,-0.0001546973040778,78.629997,79.385002,77.709999,77.839996,6780900,77.839996,-0.730003999999994,-0.0093345606974431,96.849998,97.650002,96.300003,96.620003,8904900,92.021423,0,0,38.849998,39.25,38.549999,38.549999,95700,38.549999,-0.150002000000001,-0.00388355180652811
"2017-11-28",64.849998,65.800003,64.800003,65.800003,1569300,61.778351,1.051544,0.017167764101103,77.949997,78.230003,77.244003,77.790001,8741500,77.790001,-0.0499949999999956,-0.000642485416481264,96.589996,96.889999,95.82,96.769997,8709600,92.164261,0.142837999999998,0.0015510220504984,38.799999,39.450001,38.650002,39.299999,123200,39.299999,0.75,0.0192684193609218
"2017-11-29",65.779999,66.93,65.389999,66.580002,3210600,62.510685,0.732334000000002,0.0117845064820665,77.949997,77.980003,71.669998,73.25,25202100,73.25,-4.540001,-0.0601346531766289,97.220001,98.260002,96.879997,97.559998,11424000,92.916672,0.752411000000009,0.00813066081750691,39.25,40.150002,39.049999,39.599998,114400,39.599998,0.299999,0.00760457432546024
"2017-11-30",66.650002,67.879997,66.43,67.309998,3748100,63.19606,0.685375000000001,0.0109044553069708,73.769997,75.870003,73.540001,75.730003,15962000,75.730003,2.480003,0.033296174842973,98.089996,98.440002,96.510002,97.230003,12854700,92.602386,-0.31428600000001,-0.00338818344648217,39.75,39.75,39.049999,39.200001,90100,39.200001,-0.399996999999999,-0.0101522954487625
"2017-12-01",66.900002,67.260002,65.889999,66.870003,2489500,62.782955,-0.413105000000002,-0.00655833800094374,75.220001,76.440002,74.260002,75.300003,13387800,75.300003,-0.429999999999993,-0.00569424809366481,97.610001,97.709999,96.230003,97.349998,8296200,92.716652,0.114266000000001,0.00123318160631403,39.200001,39.200001,38.400002,39.049999,168900,39.049999,-0.150002000000001,-0.00383392162912033
"2017-12-04",67.599998,68.559998,67.379997,67.610001,2604400,63.477722,0.694766999999999,0.0110053902597169,75.589996,75.744003,68.610001,70.970001,26283600,70.970001,-4.33000200000001,-0.0592229080191329,97.730003,97.959999,96.68,97.010002,8956500,92.39286,-0.323791999999997,-0.00349838673047742,39.349998,39.849998,39.25,39.400002,65500,39.400002,0.350003000000001,0.00892301638780824
"2017-12-05",67.709999,68.519997,67.620003,67.940002,2878000,63.787552,0.309829999999998,0.00486905190039444,69.809998,72.75,69.610001,71.199997,16634000,71.199997,0.229996,0.00323550965574526,97,97.940002,96.919998,97.830002,9010100,93.17382,0.780960000000007,0.00841707800916058,39.549999,39.849998,39.200001,39.349998,118200,39.349998,-0.0500040000000013,-0.00126994302781869
"2017-12-06",68.019997,68.669998,67.849998,68.410004,1834700,64.228836,0.441284000000003,0.00689420713626721,70.889999,73.199997,70.830002,73.139999,9331400,73.139999,1.94000200000001,0.0268826227657284,97.989998,98.139999,97.239998,97.279999,7141000,92.650002,-0.523818000000006,-0.00563780662584978,39.349998,39.599998,38.799999,38.900002,62900,38.900002,-0.449995999999999,-0.0115016219992086
"2017-12-07",68.279999,68.75,68.220001,68.529999,2034800,64.341484,0.112647999999993,0.00175231777948337,73.25,74.069,73.25,73.690002,7937700,73.690002,0.550003000000004,0.00749173287080662,97.059998,97.580002,96.650002,96.779999,7502600,92.659569,0.0095670000000041,0.000103254245928497,38.849998,39.450001,38.799999,39.200001,214300,39.200001,0.299999,0.00768247026833935
